Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   1 G   0########### 682572.235   2153.274
 R   1 G   1########### 682527.105   2058.099
 R   1 G   2########### 682678.112    1897.47
 R   1 G   3########### 682868.859   2074.611
 R   1 G   4########### 682969.429   1854.495
 R   1 G   5########### 682385.997   1820.164
 R   1 G   6########### 682440.892   1853.588
 R   1 G   7########### 682450.212   1787.666
 R   1 G   8###########  682288.32   1731.043
 R   1 G   9########### 682329.642   1675.039
 R   1 G  10########### 682319.365   1627.503
 R   1 G  11########### 682562.953   1702.528
 R   1 G  12########### 682749.045   1900.453
 R   1 G  13###########  682706.48   1932.992
 R   1 G  14########### 682754.878   1950.372
 R   1 G  15########### 682811.307   1931.025
 R   1 G  16########### 682751.835   1843.088
 R   1 G  17###########   682719.9   1868.825
 R   1 G  18########### 682926.531   2010.473
 R   1 G  19########### 682839.614   1983.601
 R   1 G  20########### 682845.788   2018.749
 R   1 G  21########### 682698.047   1896.681
 R   1 G  22########### 682781.938   1960.286
 R   1 G  23########### 682854.264   2106.803
 R   1 G  24########### 682961.737   2180.698
 R   1 G  25########### 683083.614   2267.233
 R   1 G  26########### 683142.317   2288.241
 R   1 G  27########### 683162.008   2376.697
 R   1 G  28########### 683069.363   2331.769
 R   1 G  29###########  683277.33   2299.665
 R   1 G  30###########  683244.21   2266.998
 R   1 G  31########### 683126.708   2231.875
 R   1 G  32########### 683417.877   2422.092
 R   1 G  33########### 683221.041    2451.03
 R   1 G  34########### 683204.186   2504.954
 R   1 G  35########### 683167.751   2419.693
 R   1 G  36########### 682712.113   2118.347
 R   1 G  37########### 682503.345   1897.123
 R   1 G  38########### 682157.846   1684.275
 R   1 G  39########### 682122.879   1699.508
 R   1 G  40########### 682249.252   1727.785
 R   1 G  41########### 682220.555   1735.118
 R   1 G  42###########  682131.33   1758.579
 R   1 G  43########### 682248.812   2009.158
 R   1 G  44########### 682307.554   2120.924
 R   1 G  45########### 682592.645   2302.444
 R   1 G  46########### 682560.934   2322.831
 R   1 G  47###########  682629.08   2400.721
 R   1 G  48########### 682785.497   2488.126
 R   1 G  49########### 682629.914   2341.055
 R   1 G  50###########  682842.77   2458.125
 R   1 G  51########### 682941.915   2562.937
 R   1 G  52########### 682979.303   2598.469
 R   1 G  53########### 683257.292   2738.229
 R   1 G  54########### 683096.665   2732.129
 R   1 G  55########### 683052.053   2754.357
 R   1 G  56########### 683029.867   2770.622
 R   1 G  57########### 683026.612   2769.005
 R   1 G  58########### 683120.319   2813.745
 R   1 G  59########### 682812.921   2732.735
 R   1 G  60########### 682574.623   2636.444
 R   1 G  61########### 682455.474   2578.627
 R   1 G  62########### 683016.253   2825.734
 R   1 G  63########### 683044.829   2807.643
 R   1 G  64########### 682816.056   2729.057
 R   1 G  65########### 682766.007   2702.008
 R   1 G  66########### 682875.631   2749.309
 R   1 G  67########### 682314.853   2462.507
 R   1 G  68########### 682283.975    2420.35
 R   1 G  69########### 682183.877   2334.871
 R   1 G  70########### 682274.449   2424.377
 R   1 G  71########### 682272.027    2362.49
 R   1 G  72########### 682440.392   2528.725
 R   1 G  73########### 682757.315   2654.523
 R   1 G  74########### 682543.625   2594.357
 R   1 G  75###########  682540.49   2597.893
 R   1 G  76########### 682484.171   2571.051
 R   1 G  77########### 682873.329   2701.079
 R   1 G  78###########  682540.49   2597.893
 R   1 G  79########### 682693.772    2687.69
 R   1 G  80########### 683295.788   2848.062
 R   1 G  81########### 682859.715   2756.801
